Manf Part #,Quantity,Reference,Description
0ZRE0012FF1C,3,F1,
ERA-6AEB101V,12,"R25,R26,R27,R28",
CHV1206-JW-224ELF,15,"R3,R5,R7,R9,R4,R6,R8,R10",RES SMD 220K OHM 5% 1/4W 1206
B72660M0251K072,3,"RV1,RV2",VARISTOR 390V 1.2KA 4032
08055C333KAT2A,3,"C1,C2",CAP CER 0.033UF 50V X7R 0805
AIML-1206-R27K-T,3,L1,FERRITE - 270nH Shielded Multilayer Inductor 250mA 400 mOhm Max 1206
CL21F334ZBFNNNE,12,"C23,C24,C25,C26",
CL21C200JBANNNC,12,"C13,C14,C15,C16",
SJ-3523-SMT-TR,1,"J2,J3",TRS 3.5Female audio jack
CC0805KRX7R8BB104,1,"C4,C11,C12,C8,C20,C21,C17,C22",.1F C Yageo
ABLS3-8.192MHZ-D4Y-T,6,"Y1,Y2",
RL1220S-120-F,2,"R1,R2",RES SMD 12 OHM 1% 1/3W 0805
ATM90E26-YU-B,6,"M2,M1", atm90e26 Energy monitor IC
RAC03-3.3SGA,3,U1,120VAC -> 3.3VDC
